"","Camp","Burn440_Area","PreburnAr","ProportionHabBurn"
"70","Herston, Enoggera Creek",113936759.256883,2416643702.34266,0.0471466932202022
"71","Hervey Bay, Botanic Gardens",28962385.418522,2481340008.48902,0.0116720744917817
"72","Hervey Bay, Gatakers bay",31646575.1491563,2620644046.43414,0.0120758769937555
"73","Hervey Bay, Tooan Tooan",31186539.641942,2654595259.87462,0.0117481335529149
"74","Hillview",74188564.931108,3496788227.41288,0.0212162018704795
"75","Horton, Station Road",111560756.537526,3064927711.11793,0.0363991477295999
"76","Indooroopilly Island",98632699.02633,2354117779.11933,0.0418979457617572
"77","Kandanga, Hyne Estate Rd",137420790.120521,4417873384.1402,0.0311056425052493
"78","Kilcoy, Kilcoy Creek (Anzac Park)",155144313.186564,3716663814.81184,0.0417428965644604
"79","Kingaroy, Mt. Wooloorin Reserve",52727133.83524,1397239159.20825,0.0377366562393785
"80","Kinmond Creek, Cootharaba Road",72355905.238194,3374558609.61052,0.0214415909186254
"81","Kolan River, Avondale",167633348.80954,1994826581.66242,0.0840340460421578
"82","Kooralbyn (Routley Drive)",166719448.20314,3437025133.95668,0.0485069039955532
"83","Labrador, Government Rd",24721101.017473,1895104781.08569,0.013044714605865
"84","Laidley (Whites Road)",255042366.881648,2588686426.32637,0.0985219238173938
"85","Laidley, Laidley Plainlands Road",258119150.759614,2561800187.93644,0.100756941144396
"86","Lamb Island",51926034.120268,1350990557.90159,0.0384355270409302
"87","Landsborough, Vidler Crt",72398470.5374656,2984593842.45387,0.0242573945934101
"88","Lindum, Kianawah Rd.",94601764.6595531,2207680293.28129,0.0428512067383388
"89","Linville, John Street",186048920.762203,3106161784.27183,0.0598967258255088
"90","Logan Central, Bardon and Wembley Rds",103260087.457068,2228681416.72459,0.0463323679563073
"91","Loganholme, Alexander Clark Park",100260140.015258,2069254141.47385,0.0484523084940386
"92","Loganholme, Timor Avenue",94048030.562258,2066882788.29355,0.0455023531546777
"93","Lota, Wynnum Hospital",85996153.9287531,2058799937.31499,0.0417700391233284
"94","Lowood (Camp 2) Water Tower",195815761.314986,2612400456.2452,0.074956257509016
"95","Lowood Bend (Camp 1) Brisbane River",197607828.730666,2614483328.44347,0.0755819807993618
"96","Maaroom, Esplanade",96550952.654412,3562748078.05928,0.0271001346542037
"97","MacGregor, Freesia Street",102092796.034359,2260394129.74133,0.0451659269023328
"98","Macleay Island, Tim O'Shea Wetland",65747331.902408,1419887683.1799,0.0463046004844299
"99","Maroochydore, Eudlo Creek CP",73062687.1056966,2681192947.9217,0.0272500668638303
"100","Maroochydore, Stella Maris CS",70186070.7249466,2561963561.0655,0.0273954211494549
"101","Maryborough, Albion Rd Wetlands (Island Plantation",143983438.549336,3891850325.82922,0.0369961397522805
"102","Maryborough, Kent Street",144231956.857236,3967899499.33578,0.0363497001074196
"103","Maryborough, Little Tinana Ck",143110501.221236,3974518642.99682,0.0360070021242445
"104","Maryborough, Saltwater Creek",129186773.457806,3818653193.28152,0.0338304545919737
"105","Maryborough, Tinana Island,",143228308.813236,3980269214.35482,0.0359845782030733
"106","Miami, Pizzey Drive",18170127.871472,2004626009.20825,0.00906409863386363
"107","Moffat Beach, Tooway Creek",51397760.5265505,2100796508.52744,0.0244658444156392
"108","Monto",106579045.76183,979103825.114712,0.108853671110256
"109","Mooloolaba, Goonawarra Drive",66764585.4105108,2323092331.3294,0.0287395315761317
"110","Mount Berryman, Scanlans Scrub",187143250.045482,2164536319.56033,0.0864588172322723
"111","Mount Elliot",155103912.991885,2420764745.32605,0.0640722785191562
"112","Mount Ommaney - Westlake Drive",93734769.989862,2207894450.90802,0.0424543709285163
"113","Mount Warren Park - Yvonne Cr.",105449690.412756,2130755852.25305,0.0494893351114134
"114","Mudgeeraba, Burke Crescent",31779013.9238323,2289109110.80421,0.0138826995069133
"115","Mudgeeraba, Hardys Road/Appaloosa Crt",28040880.240422,2278650161.17644,0.0123059172128225
"116","Mulgowie",214599548.306921,2320571920.04678,0.0924770081259086
"117","Mullimbimby",2277479.9114815,1637292444.86472,0.00139100373829043
"118","Murwillumbah, Brays Park",12335529.34998,2329620487.87878,0.0052950810718582
"119","Nambour, Tallangatta St.",87157052.6787486,3087272253.3777,0.0282310873566115
"120","Nerang, Bushmead Street",43528844.144473,2216161419.04663,0.0196415494694419
"121","Nerang, Gilston Road",40873615.712593,2238774647.00263,0.0182571371206639
"122","Nerang, Riverpark Dr.",42574558.399073,2277940207.86463,0.0186899367472788
"123","Nerang, Winchester Dr.",43742457.282353,2283653899.47373,0.0191545913732521
"124","Noosaville, Goat Island CP",31505953.876514,2677528901.50082,0.011766802539033
"125","North Stradbroke Island, Dunwich (Mitchell Cres.)",28210206.025463,1082234473.63412,0.0260666303954759
"126","North Stradbroke Island, Point Lookout",21696632.541892,664719664.17117,0.0326402748577406
"127","Northgate reserve",101848349.612743,2440826309.55028,0.0417269959825648
"128","Oakey - Campbell St",80286274.87275,939775002.2268,0.0854313795137255
"129","Ormeau, Carob Court",101543681.941648,2122508863.85606,0.0478413464701245
"130","Palm Beach, M1",17257314.473842,2013137945.31916,0.00857234573217786
"131","Palmwoods, Dunning Street",96691396.2620666,3139083856.2058,0.0308024253862836
"132","Parkinson, Avondale Crescent",104490354.163645,2330391962.40915,0.0448381027093928
"133","Parklands, Nambour Bypass (SC)",87196528.2129886,3095926197.75054,0.0281649246924376
"134","Parklands, Tallangatta Street",86976951.8505886,3078412945.49891,0.0282538286417232
"135","Passchendaele SF",14238517.18195,888468600.31719,0.0160259092745278
"136","Peachester",96713673.5709056,3340939901.47124,0.0289480434916881
"137","Pine Mountain (Camerons Scrub/Sapling Pocket)",128252519.592276,2369266625.35288,0.054131737736851
"138","Pittsworth, 1 Thomas Street",9186162.7343393,566721930.441596,0.0162092946132883
"139","Pittsworth, Int. Campbell St & Perham St",9855436.0050593,574245587.164696,0.0171624061644425
"140","Pottsville",5395063.669572,1627492762.57065,0.00331495401617049
"141","Redbank (Pan Pacific Peace Garden)",100972501.568825,2188164694.11858,0.0461448362823064
"142","Redcliffe Botanic Gardens",60414761.5143186,2407803186.24476,0.0250912374646959
"143","Redland Bay, Junee Street Wetlands",70093785.591058,1606941354.52542,0.0436193800064091
"144","Redland Bay, Pitt St",72941699.573248,1593610126.88822,0.0457713579642459
"145","Redland Bay, Weinam Creek Wetlands (Moores Rd)",72490406.138448,1587681734.12472,0.0456580211136658
"146","Regents Park - Bennets Drive",106656106.050858,2285485059.76601,0.0466667264330214
"147","Regents Park, Emerald Drive",107401668.394558,2279141057.12459,0.0471237478078948
"148","Ringtail Creek, Tronson Road",48737022.978176,3148308233.07732,0.0154803848194171
"149","Robina, Kiralee Dr",18508665.816565,2023000412.69641,0.00914911618425981
"150","Russell Island",40890277.370508,1457613856.46609,0.0280528873879152
"151","Samford, Days Road",87316271.7477736,2415716950.10891,0.0361450755825665
"152","Sandgate, Curlew Park",92144179.1098577,2482994458.14169,0.0371101026052309
"153","Sandstone Point, Bestman Rd",53730734.5300336,2143563901.84352,0.0250660754661075
"154","Scarborough, Sunnyside Rd",59775020.7590446,2377112968.22071,0.0251460580789254
"155","Slacks Creek, Meakin Park",96024645.572998,2145131626.92357,0.0447639876116653
"156","Southport Golf Club",19957509.272333,1894098723.35527,0.0105366784878982
"157","Southport, Akes Avenue,",20053056.357033,1875723153.52807,0.0106908401270811
"158","Southport, Loders Creek",23343095.584873,1888239538.43757,0.0123623592821218
"159","Springbrook N.P, Natural Bridge",36724268.699544,2683606297.31373,0.0136846707865847
"160","Springwood, Parfrey Road",98823666.513818,2148356205.08469,0.0459996653627196
"161","Stafford, Sparkes Hill, Clover Street",113094653.819323,2450205404.87578,0.0461572134296458
"162","Stanthorpe (Gleason Park - Quart Pot Ck)",81308661.5491918,1452992709.26404,0.0559594422124635
"163","Sunnybank (Les Atkinson Park)",97818248.356455,2297204631.45203,0.0425814257107019
"164","Surfers Paradise, Girung Island",19884573.237133,1891441037.63006,0.0105129226032063
"165","Surfers Paradise, Macintosh Island",19869969.785133,1848836619.33567,0.0107472826843254
"166","Tallebudgera Creek",17612295.909152,2053135932.97189,0.00857824152132899
"167","Tamborine NP (Joalah Sec)",106474287.963073,2463833879.79025,0.043214881017927
"168","The Gap, Riaweena St",97651644.9970331,2300172134.60036,0.0424540596454097
"169","The Palms NP, Cooyar",85908546.833892,1580148320.10477,0.0543673943394098
"170","Tin Can Bay, Snapper Point",79074970.820831,3033247984.8462,0.0260694052104812
"171","Tinana, Franklins Close",152633906.927036,4005966180.93032,0.0381016464027136
"172","Toowong Perrin Park, Josling St",105344099.25316,2377972569.91101,0.0442999640055151
"173","Toowoomba (Japanese Gardens/University)",167216260.456026,1466459509.01007,0.114027192314982
"174","Toowoomba (Redwood Park)",171469445.589946,1655097852.50867,0.103600790327923
"175","Toowoomba, Spring Street",168390859.185026,1505128823.75435,0.111878037632019
"176","Turkey Beach",92256888.53882,1737869403.65618,0.0530862033388282
"177","Tweed Heads, Oxley Cove",10277133.670892,1855754376.74823,0.0055379816422151
"178","Undulluh, Homestead Drive (Flagstone)",114531425.985173,2339230392.44397,0.0489611567783682
"179","Upper Rocky Creek, Murphys Creek",163158533.852414,1702155025.13855,0.0958540975661917
"180","Victoria Point, Marianne St/Egret Drive.",73821339.254118,1568927510.35127,0.0470521032788762
"181","Warwick - Dragon Street",91683462.6396076,1820598599.10602,0.050358965828397
"182","Warwick, Rockland Rd",12371023.500812,944076021.79809,0.0131038425033295
"183","Watalgan SF, Arthur's Ck Rd",249775456.6316,2600777935.42902,0.0960387479565407
"184","Wellington Point, Crossley Drive",79217349.89515,1841906464.93979,0.0430083456478554
"185","Weyba Creek",28341829.756104,2484618855.58792,0.0114069124495144
"186","Willowbank",178279399.691546,2326085716.41991,0.076643521102024
"187","Windsor, Enoggera Creek",112992989.770483,2418769938.23858,0.0467150628855458
"188","Withcott",162164441.384846,1568541740.43206,0.103385480414552
"189","Woocoo NP, Aramara",228802902.28448,3684583920.65801,0.0620973513458799
"190","Woodend",128958185.420045,2266472751.50471,0.0568981847826892
"191","Woodford",106508548.283345,3428889497.8588,0.0310621116107284
"192","Worongary, Worongary Road",34435287.602845,2257915399.32992,0.0152509202129824
"193","Wynnum Creek",93186621.2861531,2103957799.47457,0.0442911076017898
"194","Wynnum North, Meilandt Street",95544959.3859531,2168714433.18737,0.0440560351901796
"195","Yamanto",140223691.174998,2253826609.15513,0.0622158291172018
"196","Alstonville, Lumley Park",3248980.6859734,1394355247.95693,0.00233009535463358
"197","Arakoon",27984814.55713,1831847817.47551,0.015276822828927
"198","Avalon",19941930.7932032,1710311956.09649,0.0116598207257566
"199","Balgowlah",23630843.705682,1357966090.44077,0.0174016449100079
"200","Ballina, Little Fishery Creek",2949344.8766334,934404094.423452,0.003156391216857
"201","Bangalow, Paddys Creek",1918926.540092,1093151159.67194,0.00175540822795987
"202","Bateman's Bay, Water Gardens",7649662.60857,2652352622.00118,0.00288410467941415
"203","Bega, Glebe Park",9431344.91292,1638084851.3711,0.00575754357597888
"204","Bellingen Island",42449058.0527929,3687666711.17063,0.0115110885493547
"205","Bomaderry Creek",66451960.7131929,2852271305.12651,0.0232979101930998
"206","Byron Bay",236015.674222,906921234.6662,0.000260238337355578
"207","Cabramatta",26175286.3792847,2450805219.33607,0.0106802801678281
"208","Campbelltown",19370477.153586,2997893758.72272,0.00646136211372579
"209","Casino",47369501.8012449,3022791289.03384,0.0156707814969208
"210","Centennial Pk",23527100.2276346,1232038119.06365,0.0190960814146848
"211","Clyde",26319025.2826907,2192984893.80861,0.0120014621883609
"212","Coffs Harbour, Coffs Creek",46320442.095458,2747767164.75073,0.0168574843930272
"213","Copmanhurst",268539086.662992,5079034966.86277,0.05287206889006
"214","Emu Plains",31511016.962156,3442080433.76353,0.00915464282968607
"215","Evans Head",7114274.9383848,1414176569.52335,0.00503068364425149
"216","Gladesville",24264835.8774607,1582065465.18044,0.0153374410929912
"217","Glenreagh",129295552.986352,3843048084.06329,0.0336440112530798
"218","Gordon",25323245.2241009,1775278827.02538,0.0142643762988668
"219","Kareela",22422653.2586397,1407053390.49044,0.0159358936982655
"220","Kempsey, Rudder park",81671877.8186815,3111271323.71416,0.0262503232026655
"221","Kioloa",54491577.834428,2576922886.93004,0.0211459869873504
"222","Lismore, Rotary Park",4096434.4915314,1973553318.55823,0.00207566446419802
"223","Maclean",66204498.5587815,3003540383.31377,0.0220421536286251
"224","Macquarie Fields",31090510.3252257,2700426907.28775,0.011513183430857
"225","Maitland, Lorn",20147869.7697872,2478601671.40021,0.00812872435384314
"226","Nambucca - Gordon park",14709538.511051,2572761399.13013,0.00571741262754658
"227","Newcastle, Blackbutt Reserve",8660985.499156,2127202773.89727,0.00407153732847392
"228","Pambula",4501747.37416,1725924700.6642,0.0026083104161077
"229","Parramatta Park 1",28078987.8735607,2428460794.86185,0.0115624629118866
"230","Port Macquarie, Kooloonbung Creek",60974505.663743,2085653637.46692,0.0292352021296298
"231","Shellharbour, Blackbutt Reserve",3531802.382681,2071331457.1529,0.00170508798603173
"232","Singleton, Burdekin Park",16156348.4455585,2944135349.54919,0.00548763780443463
"233","Smiths Lake",24518888.0479258,1794178831.19077,0.0136657994296215
"234","Suffolk Park",236015.674222,847521966.4984,0.000278477353450927
"235","Tamworth, King George Avenue",4017988.372446,813331404.703041,0.00494016135269365
"236","Tocal",32265721.2225408,2411231494.36336,0.0133814282444332
"237","Wandandian, Bewong Creek",66218135.5908119,3082285284.36135,0.0214834544767105
"238","Warriewood",22624673.145,1514559376.62186,0.0149381222646174
"239","Wingham Brush",105597213.896295,3137310677.0975,0.0336585135374571
"240","Wolli Creek",23527396.6972499,1391589179.95514,0.0169068551524728
"241","Wollongong, Figtree",11360984.2192953,2177664085.44233,0.00521705082764757
"242","Woolgoolga Lake",43893304.238028,2505923595.14246,0.0175158190469621
"243","Yamba Shores",24972882.87579,2297305272.34094,0.0108705112796537
"244","Yarramundi",32267929.0257737,3613656775.11876,0.00892943935571005
"245","Yatteyattah",67250028.4092419,2958021580.01358,0.02273479979444
"246","Goondiwindi (Macintyre River) Cairns St.",0,145773.1837,0
"247","Inglewood, Frey Street",0,37419745.156455,0
